التاريخ,نوع التحصيل,شركة الشحن,المبلغ المحصل (جم),عدد الشحنات,حالة التحصيل,إيصال التحصيل,,,,,,,,,,,,,,
25/12/01,شركة شحن عايدة,"01/12/2025 من الشركة للعميل 71,130.00",EGP 71٬130٫00,,,,,,,,,,,,,,,,,
25/12/01,شركة شحن أوفرسايز,"2920 01/12/2025 من الشركة للعميل 4,010.00",EGP 4٬010٫00,,,,,,,,,,,,,,,,,
25/12/02,شركة شحن عايدة,"2953 02/12/2025 من الشركة للعميل 58,450.00",EGP 58٬450٫00,,,,,,,,,,,,,,,,,
25/12/02,شركة شحن أوفرسايز,"2952 02/12/2025 من الشركة للعميل 6,605.00",EGP 6٬605٫00,,,,,,,,,,,,,,,,,
25/12/03,شركة شحن عايدة,"2976 03/12/2025 من الشركة للعميل 50,225.00",EGP 50٬225٫00,,,,,,,,,,,,,,,,,
25/12/04,شركة شحن عايدة,"2998 04/12/2025 من الشركة للعميل 66,830.00",EGP 66٬830٫00,,,,,,,,,,,,,,,,,
25/12/06,شركة شحن عايدة,"3028 06/12/2025 من الشركة للعميل 54,080.00",EGP 54٬080٫00,,,,,,,,,,,,,,,,,
25/12/07,شركة شحن عايدة,"3054 07/12/2025 من الشركة للعميل 19,630.00",EGP 19٬630٫00,,,,,,,,,,,,,,,,,
25/12/08,شركة شحن عايدة,"3081 08/12/2025 من الشركة للعميل 18,095.00",EGP 18٬095٫00,,,,,,,,,,,,,,,,,
25/12/09,شركة شحن عايدة,"3102 09/12/2025 من الشركة للعميل 10,175.00",EGP 10٬175٫00,,,,,,,,,,,,,,,,,
25/12/10,شركة شحن عايدة,"3122 10/12/2025 من الشركة للعميل 10,400.00",EGP 10٬400٫00,,,,,,,,,,,,,,,,,
25/12/11,شركة شحن عايدة,"3155 11/12/2025 من الشركة للعميل 10,580.00",EGP 10٬580٫00,,,,,,,,,,,,,,,,,
25/12/13,شركة شحن عايدة,"3181 13/12/2025 من الشركة للعميل 7,945.00",EGP 7٬945٫00,,,,,,,,,,,,,,,,,
25/12/14,شركة شحن عايدة,"3204 14/12/2025 من الشركة للعميل 9,075.00",EGP 9٬075٫00,,,,,,,,,,,,,,,,,
25/12/15,شركة شحن عايدة,"3226 15/12/2025 من الشركة للعميل 17,095.00",EGP 17٬095٫00,,,,,,,,,,,,,,,,,
25/12/16,شركة شحن عايدة,"3248 16/12/2025 من الشركة للعميل 18,175.00",EGP 18٬175٫00,,,,,,,,,,,,,,,,,
25/12/17,شركة شحن عايدة,"3279 17/12/2025 من الشركة للعميل 15,590.00",EGP 15٬590٫00,,,,,,,,,,,,,,,,,
25/12/18,شركة شحن عايدة,"3327 18/12/2025 من الشركة للعميل 55,310.00",EGP 55٬310٫00,,,,,,,,,,,,,,,,,
25/12/20,شركة شحن عايدة,"3343 20/12/2025 من الشركة للعميل 48,970.00",EGP 48٬970٫00,,,,,,,,,,,,,,,,,
25/12/21,شركة شحن عايدة,"3364 21/12/2025 من الشركة للعميل 51,015.00",EGP 51٬015٫00,,,,,,,,,,,,,,,,,
25/12/22,شركة شحن عايدة,"3388 22/12/2025 من الشركة للعميل 50,020.00",EGP 50٬020٫00,,,,,,,,,,,,,,,,,
25/12/23,شركة شحن عايدة,"3413 23/12/2025 من الشركة للعميل 71,917.00",EGP 71٬917٫00,,,,,,,,,,,,,,,,,
25/12/24,شركة شحن عايدة,"3435 24/12/2025 من الشركة للعميل 40,645.00",EGP 40٬645٫00,,,,,,,,,,,,,,,,,
25/12/25,شركة شحن عايدة,"3459 25/12/2025 من الشركة للعميل 54,925.00",EGP 54٬925٫00,,,,,,,,,,,,,,,,,
25/12/27,شركة شحن عايدة,"3487 27/12/2025 من الشركة للعميل 60,390.00",EGP 60٬390٫00,,,,,,,,,,,,,,,,,
25/12/03,شركة شحن أوفرسايز,"2977 03/12/2025 من الشركة للعميل 17,815.00",EGP 17٬815٫00,,,,,,,,,,,,,,,,,
25/12/04,شركة شحن أوفرسايز,"2999 04/12/2025 من الشركة للعميل 23,325.00",EGP 23٬325٫00,,,,,,,,,,,,,,,,,
25/12/07,شركة شحن أوفرسايز,"3054 07/12/2025 من الشركة للعميل 19,630.00",EGP 19٬630٫00,,,,,,,,,,,,,,,,,
25/12/08,شركة شحن أوفرسايز,"3081 08/12/2025 من الشركة للعميل 18,095.00",EGP 18٬095٫00,,,,,,,,,,,,,,,,,
25/12/09,شركة شحن أوفرسايز,"3102 09/12/2025 من الشركة للعميل 10,175.00",EGP 10٬175٫00,,,,,,,,,,,,,,,,,
