التاريخ,البند الرئيسي,تفاصيل,أونلاين / مصنع,المبلغ (جم),طريقة الدفع,ملاحظات,,,,,,,,,,,,,,,,,,,
25/12/01,انتقالات,٦٠ اسكوتر,مصنع,EGP 60٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/01,إعلانات عايدة,٢٤٥٠٠ عايدة,أونلاين,EGP 24٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/01,إعلانات اوفر,٧٥٠٠ اوفر سايز,أونلاين,EGP 7٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/01,ايجار اونلاين,ايجار مكتب 11 الف,أونلاين,EGP 11٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/01,ايجار مصنع,ايجار مصنع 15 الف,مصنع,EGP 15٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/01,مرافق اونلاين,مصاريف خدمات مكتب,أونلاين,EGP 2٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/01,مرافق مصنع,مصاريف خدمات مصنع,مصنع,EGP 2٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/01,حساب ريهام,٢٥ الف ريهام,مصنع,EGP 25٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/01,مستلزمات اونلاين,٨٠٠ج فليرات,أونلاين,EGP 800٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/01,سلف مصنع,٥٠٠ سلفه ام هاجر,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/01,سلف مصنع,٥٠٠ سلفه ام اسلام,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/02,قماش,٤١ الف من حساب ميلتون,مصنع,EGP 41٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/03,سلف مصنع,٥٠٠ عم خالد مقص,مصنع,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/02,إعلانات عايدة,اعلان عايدة 21,أونلاين,EGP 21٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/03,إعلانات عايدة,اعلان عايدة,أونلاين,EGP 16٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/02,إعلانات اوفر,اعلان اوفر سايز,أونلاين,EGP 8٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/03,إعلانات اوفر,اعلان اوفر سايز,أونلاين,EGP 7٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/04,مستلزمات تصنع,1476 خيوط,مصنع,EGP 1٬476٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/04,قماش,٢٨٦٠٠ قماش سمر ميلتون,مصنع,EGP 28٬600٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/04,إعلانات عايدة,٢٣ الف عايدة اعلانات,أونلاين,EGP 23٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/04,إعلانات اوفر,١١ الف اوفر سايز,أونلاين,EGP 11٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/04,اكراميات,150 مشال ٢٠٠ مشال,مصنع,EGP 350٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/04,سلف اونلاين,٤٠٠ سلفة رنيا,أونلاين,EGP 400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/04,مرتبات مصنع,14220 مرتبات اسبوع,مصنع,EGP 14٬220٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/06,مستلزمات تصنع,٧٠٠ خيط,مصنع,EGP 700٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/06,مستلزمات تصنع,٧٥٠ استيك ٤ سم و ١ سم,مصنع,EGP 750٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/06,مستلزمات تصنع,٣٠٠ بكبك,مصنع,EGP 300٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/06,قماش,١١٤٠٠ ميلتون جيشي +٢٢٥٠ ج,مصنع,EGP 13٬650٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/06,إعلانات عايدة,١٩ الف عايدة,أونلاين,EGP 19٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
